0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceD_probs
The principles of xeriscaping are best exemplified by a homeowner who,installs an in-ground sprinkler system that operates on a timer,lowers the cutting height on the lawn mower to reduce the surface area in contact with the cutting blade,increases the use of fertilizer on the turfgrass to promote growth,replaces nonnative ornamentals with native shrubs that do not require irrigation,D,True,0.008609742,0.13467903,0.08168696,0.7750243
What was the revenue for flat screen televisions sold in Australia in the past 12 months (as of 2013)?,$120 million annual Revenue,$1.2 billion annual Revenue,$12 billion annual Revenue,$120 billion annual Revenue,B,False,0.03372192,0.117701076,0.17125405,0.6773229
What native empire controlled Large areas of South African Territory during the 19th century?,Hutu,Zulu,Aztec,Masai,B,False,0.004650081,0.119927175,0.093399376,0.7820234
How many keys are on a Standard piano?,20,54,88,100,C,False,0.03953197,0.13798013,0.12176704,0.7007209
The most important consideration in designing successful messages to be transmitted through graphic communications is knowledge and understanding of,current technologies,the capabilities of the designer,the limitations of the printer,the nature of the audience,D,True,0.006388562,0.06868351,0.088191375,0.8367365
Which one of these world leaders was assassinated?,Indira Gandhi,Ferdinand Marcos,Golda Meir,Neville Chamberlain,A,False,0.028766712,0.18758252,0.12892346,0.65472734
Which of these candy bars was named for a baseball player?,Baby Ruth,Clark Bar,Reggie Bar,Butterfinger,C,False,0.013034649,0.48912162,0.06619541,0.4316483
The common term for someone who has difficulty seeing objects in the distance is what?,farsighted,nearsighted,hindsighted,hypermetropic,B,False,0.014881531,0.097039774,0.07557465,0.81250405
Where did jazz great Sun Ra claim he was born?,Atlantis,Mount Olympus,Saturn,in a saxophone,C,False,0.013866508,0.16892865,0.14907902,0.6681258
By what name is Bob Keeshan better known?,Bozo the Clown,Pee Wee Herman,Captain Kangaroo,Buffalo Bob,C,False,0.011489388,0.29631522,0.20365426,0.4885412
Where would you typically find a bailiff?,grocery store,courtroom,football stadium,doctor's office,B,False,0.0105047235,0.2246009,0.1543658,0.6105285
Girls of what religious community traditionally wear bonnets?,Amish,Sikh,Roman Catholic,Christian,A,False,0.032058574,0.16280688,0.23688261,0.56825185
What New Age musician released a 1998 album titled 'King of the Pan3Flute'?,Zamfir,Yanni,Vangelis,Kenny G,A,False,0.007324026,0.16669406,0.16669406,0.6592878
Which of these is a fish?,sea horse,sea cow,sea snake,sea lion,A,False,0.023500513,0.1967674,0.092946336,0.6867857
How many airplanes are in the air worldwide right now (as of 2014)?,"5,000","20,000","80,000","320,000",B,False,0.013866508,0.14907902,0.16892865,0.6681258
Reindeer herding as an economic activity of the Sami in Norway is an example of which of the following types of diffusion?,Stimulus,Hierarchical,Relocation,Contagious,A,False,0.03182611,0.23516491,0.23516491,0.49784413
"When cool air flows from a high mountain region to a region of lower elevation, the air will",increase in moisture content,"condense, forming large amounts of dew",undergo adiabatic warming,undergo adiabatic cooling,C,False,0.014730563,0.179455,0.179455,0.62635946
In Greek mythology what is the name of Zeus' father?,Apollo,Cronus,Prometheus,Hercules,B,False,0.0035538324,0.21986781,0.24914287,0.5274355
What disease does a carcinogen cause?,cancer,influenza,emphysema,heart disease,A,False,0.031619933,0.0669394,0.08595189,0.8154888
Who sang lead vocals for the band Big Brother and the Holding Company?,Grace Slick,Janis Joplin,Mama Cass,Karen Carpenter,B,False,0.014016174,0.21924984,0.091396935,0.6753371
Which Pope immediately preceded John Paul II?,John XXIII,Paul VI,John Paul I,Hank II,C,False,0.03508049,0.29372534,0.12244294,0.5487512
Which of these is not a spice?,dill,aniseed,cucumber,cayenne,C,False,0.010593476,0.10050811,0.14623843,0.74266005
Which of the following protocols is used to transport HTML pages from Web servers to Web browsers?,BOOTP,HTTP,SNMP,SMTP,B,False,0.003952623,0.21580589,0.11551257,0.66472894
What is the correct spelling of New Mexico's largest city?,Albuqerque,Albuquerque,Albequerque,Santa Fe,B,False,0.018839067,0.095672674,0.08443083,0.80105746
Which of the following best defines federalism?,A government in which the political leader is also the religious leader,The concentration of government power in the hands of a small group of people,The division of national power into different branches of government,The division of a country's power into national and subnational units,D,True,0.001789927,0.055683,0.07149839,0.87102866
What sport is known as 'The Sport of Kings'?,polo,archery,yachting,horse racing,D,True,0.008254718,0.06099458,0.088746585,0.8420042
Which of the following is matched with its correct function?,Ovule ..... production of pollen,Vascular cambium ..... formation of apical meristem,Xylem ..... transport of sugars,Guard cell ..... regulation of transpiration rate,D,True,0.042498246,0.24456052,0.048156824,0.66478443
Which of the following protocols is usually associated with hyperinflation?,A rapid decrease in total spending,A rapid increase in money supply,A slow increase in exports,A slow increase in labor productivity,B,False,0.02243885,0.39773816,0.12912668,0.45069638
In which century was the greatest number of chemical elements discovered?,17th,18th,19th,20th,C,False,0.008986632,0.096615404,0.18050134,0.71389663
"The term ""Cold War"" refers to the",race between the United States and the Soviet Union to claim ownership of Antarctica,contest between the United States and the European Union for economic domination in the West,struggle between the United States and the Soviet Union to gain political hegemony in world affairs,competition between the Soviet Union and China for the resources of the Pacific Rim,C,False,0.01051354,0.09974969,0.23928708,0.6504497
Which of the following articles of clothing has a hood?,Parka,kilt,lederhosen,sarong,A,False,0.01504787,0.16177984,0.18332058,0.6398517
Which of these measurements is equal to one square foot?,50 square inches,77 square inches,100 square inches,144 square inches,D,True,0.011052538,0.15257558,0.15257558,0.6837963
Which of the following is a disorder in ruminants that is characterized by an excessive accumulation of gas in the rumen?,Agalactia,Bloat,Bovine pleuropneumonia,Grass tetany,B,False,0.005838699,0.2813243,0.11727341,0.59556353
"_Whenever the mood strikes her_, Angela takes a short walk around the block. In the sentence above, the underlined portion can best be described as",an adjective clause,a relative clause,a subordinate clause,an independent clause,C,False,0.022658186,0.14774995,0.16742261,0.6621693
"What term is used to describe a""group of geese?",gaggle,gang,gander,grist,A,False,0.05157,0.17999698,0.1401818,0.6282512
If you dial '411' on a telephone who are you calling?,the police,the White House,directory assistance,Moviefone,C,False,0.0035685066,0.11101299,0.16152295,0.7238956
Which of these are not legumes?,beans,peas,radishes,peanuts,C,False,0.023760032,0.10648507,0.082930654,0.78682417
"In 1989 scientists from Norway discovered that there are far more viruses in oceans lakes, and streams than previously believed. How many viruses did they find that a milliliter of natural water might contain?",up to 250,up to 25000,up to 2500000,up to 250000000,D,True,0.027007587,0.121039614,0.15541795,0.6965349
Which company holds an annual self-named 'Bake-Off'?,Betty Crocker,Duncan Hines,Pillsbury,Keebler,C,False,0.009459552,0.21529843,0.19000019,0.5852418
Which of the following fiscal policy actions is most expansionary?,Increasing both government spending and taxes,Increasing government spending and decreasing taxes,Decreasing government spending and increasing taxes,Decreasing both government spending and taxes,B,False,0.007324026,0.16669406,0.16669406,0.6592878
Which of the following steps should be taken first to effectively present new information to coworkers?,Analyzing the audience,Determining the objective,Creating three to five key messages,Choosing a communication tool,B,False,0.023423724,0.17307922,0.11895549,0.6845416
What is the name of the character Played by Woody Allen in the 1967 James Bond film 'Casino Royale'?,Dr Evil,Q,Little Jimmy Bond,M,C,False,0.020822348,0.1538575,0.13577877,0.68954146
Which of the following is generally the first step taken in a large-scale commercial construction venture?,Filing applications for building permits and variances,Ordering the materials needed for the building foundation,Drafting a contract that spells out the details of the building plan,Holding a discussion between the developer and the designer/contractor about the scope of the construction,D,True,0.018720126,0.15674171,0.12207056,0.70246756
How many eyes does a Giraffe have?,one,two,three,four,B,False,0.028008554,0.08627242,0.06718903,0.81852996
What pro wrestler grapples with Sylvester Stallone in the movie-'Rocky III'?,Dolph Lundgren,Hulk Hogan,Andre the Giant,The Iron Sheik,B,False,0.013889367,0.24619491,0.14932476,0.5905909
Which of the following activities will be most effective in introducing kindergartners to the concept of how plants transport water?,Demonstrating that a celery stalk can be peeled lengthwise but not crosswise,Placing celery stalks in water colored with a dye and observing the results,Collecting rainwater in a rain gauge and comparing the amount of rainfall to a plant's growth rate,"Planting bean seeds in paper cups, placing them on the windowsill, and watering them daily",B,False,0.005983179,0.14495917,0.11289431,0.7361634
What is the function of mitochondria in the cell?,To generate energy,To process waste,To kill viruses or other antigens,To repair damage,A,False,0.024204012,0.20265773,0.065793335,0.70734495
Which of these is not one of the four basic forces in nature?,electromagnetic,gravitational,nuclear,centrifugal,D,True,0.013303233,0.16206655,0.09829833,0.7263319
Which of these is a slang term for 'police'?,fuzz,shrinks,bean counters,aardvarks,A,False,0.059882123,0.18444993,0.11187453,0.64379346
What is the name of the fruit that is half tangerine and half grapefruit?,graperine,tangefruit,tangelo,kumquat,C,False,0.016615378,0.07446496,0.10834587,0.80057377
What are the Smothers Brothers'(first names?,Frank and Bill,Tom and Dick,Dave and George,Ed and Pete,B,False,0.1526283,0.22207285,0.09257374,0.5327251
Which of the following great apes (the Hominidae) is NOT native to Africa?,Gorilla,Human,Chimpanzee,Orangutan,D,True,0.01018285,0.16955969,0.1496359,0.6706216
In the movie 'Star Wars' what kind of creature is Chewbacca?,Woolie,Woobie,Wookiee,Klingon,C,False,0.006281901,0.05960102,0.208028,0.72608906
In the film 'Easy Rider' what emblem is on the back of Peter Fonda's leather jacket?,peace symbol,American flag,two white doves,Harley-Davidson logo,B,False,0.017860793,0.1319744,0.09070459,0.7594602
What are the tallest trees on Earth?,Coast Redwood,Coast Douglas Fir,Giant Sequoia,Sitka Spruce,A,False,0.062429246,0.14975998,0.116633184,0.6711776
Which of these painting tools has bristles on it?,Easel,Knife,Brush,Palette,C,False,0.005085692,0.19083919,0.21624914,0.5878261
Astronaut John Glenn served as a pilot in what branch of the military?,Army,Air Force,Marines,Navy,C,False,0.020763524,0.2529515,0.11948583,0.6067991
On the TV show 'CHiPs' what was Officer Frank Poncherello's-nickname?,Franky,Ponch,Chipper,Hot Dog,B,False,0.02308452,0.31867197,0.13284224,0.52540123
Which of the following criteria is the most important when assessing reading comprehension?,Ability to spell inventively,Ability to decode new words,Ability to identify the main idea,Ability to recognize rhyming patterns,C,False,0.0033612181,0.07186601,0.15214035,0.7726324
Which of these games is not played with cards?,baccarat,rummy,craps,solitaire,C,False,0.012131949,0.16747639,0.06981455,0.7505771
In American football how many points is a touchdown worth?,two,three,six,seven,C,False,0.017649136,0.08962971,0.042338077,0.85038304
What is the most likely impact of an increase in interest rates?,Investment levels diminish,Employment increases,The value of the U.S. dollar increases,Mortgage rates decline,A,False,0.006825075,0.17602101,0.12097735,0.6961766
Whose profile can you see on the front of dimes that are currently in circulation?,George Washington,Thomas Jefferson,Benjamin Franklin,Franklin Roosevelt,D,True,0.029209197,0.1904679,0.11552461,0.66479826
Who is considered the owner of a 'publicly held' company?,the CEO,the stockholders,the president,the government,B,False,0.0083409315,0.20208226,0.08424042,0.7053364
Which of the following candies is traditionally fruit flavored?,M&M's,Skittles,Reese's Pieces,Junior Mints,B,False,0.015976511,0.28319043,0.17176367,0.52906936
In 1926 the Harlem Globetrotters basketball team was formed in what city?,Boston,Philadelphia,Chicago,New York City,C,False,0.007222635,0.12802428,0.12802428,0.73672885
Which of the following steps in the design of a dog house would be earliest?,Acquiring all the tools necessary for the building,Purchasing all the materials for building the structure,"Identifying the color, shape, and style of the exterior surface",Accessing the measurements of the dog and all the interior materials,D,True,0.029214824,0.21587,0.16811971,0.58679545
What was the name of the 1999 art exhibit that sparked a national debate about censorship?,Sticks & Stones',Pulsation',Black & White',Sensation',D,True,0.03504965,0.1223353,0.13862406,0.70399106
What was the title of Beethoven's only completed opera?,Faust',The Silence',Immortal Beloved',Fidelio',D,True,0.00708517,0.07617276,0.09780776,0.8189343
What is the name of the StarKist tuna mascot?,Charlie,Sam,Al,Morris,A,False,0.036815885,0.16499734,0.14560965,0.65257716
Which of the following groups was converted to Christianity in the tenth century C.E. by missionaries from the Byzantine Empire?,Franks,Visigoths,Russians,Anglo-Saxons,C,False,0.021629646,0.14104302,0.20521638,0.63211095
Which of these words is an adverb?,hurried,fast,speedy,quickly,D,True,0.0058218185,0.08555099,0.096941985,0.81168526
On which part of a car would you find the 'caliper'?,battery,engine,radiator,brakes,D,True,0.0018079,0.11185081,0.059869427,0.8264719
Which of these plants is the national emblem of Scotland?,ivy,thistle,rose,linden,B,False,0.0125073,0.18379344,0.16219714,0.64150214
How much does it cost to air condition all American automobiles for a year (as of 2018)?,$10m,$100m,$1 billion,$10 billion,C,False,0.010817701,0.102635495,0.21727933,0.6692675
What fictional character claims to be 'smarter than the average bear'?,Paddington Bear,Fozzie Bear,Smokey Bear,Yogi Bear,D,True,0.006969219,0.1586187,0.12353237,0.7108797
If you are truly afraid of the dark what do you suffer from?,hypnophobia,cryptophobia,hadephobia,nyctophobia,D,True,0.046785496,0.07713625,0.046785496,0.8292928
Which of the following is a way in which Congress can influence the federal bureaucracy?,Increasing or decreasing departmental salaries,Appropriating funds,Appointing agency heads,Dismissing cabinet secretaries,B,False,0.011654832,0.14198492,0.12530126,0.72105896
What country was once ruled by shoguns?,China,Japan,North Korea,Taiwan,B,False,0.0030035363,0.3471616,0.07746222,0.5723727
On what continent can you find tigers in the wild?,Africa,Asia,Europe,South America,B,False,0.013329274,0.26772562,0.07670468,0.6422404
"The construction of a transportation network that included roads, canals, and steamboats that took shape in the United States in the early decades of the nineteenth century had which of the following effects in the years before the Civil War?",It decreased the need for immigrant labor.,It stimulated the development of a market revolution.,It weakened the plantation system in the southern states.,It transformed the United States into an international military power.,B,False,0.011035618,0.28461236,0.17262612,0.5317259
What is the more common name for the disease 'pertussis'?,whooping cough,tennis elbow,black lung,German measles,A,False,0.067765005,0.23652312,0.05277544,0.64293647
The primary purpose of a Supervised Agricultural Experience ( SAE ) program is to,provide a basis for students to apply for and win proficiency awards,provide students with an income to be used to learn money management skills,"give students a chance to earn enough money to qualify for local, state, and national FFA degrees",allow students to apply skills learned in the classroom and learn new skills in a specialized area,D,True,0.008020982,0.07610097,0.09771557,0.81816244
An early-nineteenth-century railroad steam engine is an excellent example of which of the following power systems?,Internal combustion engine,External combustion engine,Rotary engine,Reaction engine,B,False,0.01779,0.24558337,0.21672657,0.5199
With which of the following statements would both Thomas Hobbes and John Locke most probably have agreed?,Government authority is created as the result of a social contract.,Government must enforce religious law to prevent moral decay.,Government must enforce the majority's will regardless of the wishes of the minority.,Government must bend to the will of the educated minority.,A,False,0.0667546,0.23299645,0.1413195,0.55892944
In the classic song 'Take Me Out to the Ballgame' for whom do we 'root root root'?,the umpire,the home team,the bat boy,Mighty Casey,B,False,0.014775612,0.27879536,0.1162192,0.5902098
Who was Charlie McCarthy?,a US senator,a Chicago gangster,a famous baseball pitcher,a wooden dummy,D,True,0.004996626,0.01743994,0.025374962,0.95218843
How many states were in the Confederate States of America?,11,13,16,22,A,False,0.040328905,0.23207684,0.09674402,0.63085026
Who were the Chicago Seven?,war protesters,bluegrass musicians,bank robbers,mobsters,A,False,0.053220257,0.18575697,0.11266729,0.6483555
Which dwarf planet is closest to the Sun?,Pluto,Eris,Ceres,Makemake,C,False,0.03060014,0.19953798,0.073405914,0.69645596
What company makes perfumes called 'Beautiful' and 'Pleasures'?,Estee Lauder,Ralph Lauren,Elizabeth Arden,Calvin Klein,A,False,0.012876784,0.22824647,0.13843848,0.6204382
What nationality was Karl Marx?,Russian,German,Danish,English,B,False,0.022284292,0.09987127,0.041632537,0.83621186
In America what is the main ingredient in pepperoni?,Fish,pepper,wheat,meat,D,True,0.007233037,0.068625145,0.08811643,0.8360254
A student in the process of solving a fabrication problem in the manufacturing laboratory asks the teacher what assembly procedures should be used. The teacher's best response would be to,give an opinion as to the best assembly procedure for the particular problem,suggest two or three possible assembly procedures and have the student select one,place the responsibility completely on the student for making the judgment,use leading questions to help the student review and analyze the relative merits of several assembly procedures,D,True,0.015709663,0.24574046,0.14904912,0.5895007
"If the government places a price ceiling on leather garments that is below the equilibrium price, which of the following will occur in the market for leather garments?",There will be a shortage.,There will be a surplus.,The demand curve for leather garments will shift leftward.,The supply curve for leather garments will shift rightward.,A,False,0.0123896245,0.1710335,0.21961136,0.59696555
"During President Dwight Eisenhower's administration in the 1950s, the federal government promoted significant changes in transportation in the United States by",establishing generous subsidies for urban mass transit,sponsoring research to develop less polluting automobiles,funding the construction of the interstate highway system,funding the establishment of a national railroad passenger system,C,False,0.004212508,0.1310473,0.2774271,0.5873132
Animals in which of the following groups may have a backbone and a spinal cord?,Mollusks,Chordates,Invertebrates,Echinoderms,B,False,0.01933252,0.2078442,0.2078442,0.5649791
Which of the following statements best illustrates active listening on the part of a second-grade teacher who is helping a student solve a personal problem?,"I have gathered the facts, and I know what really happened.","I understand you, and I know what is best for you.",I believe you understood the class rules.,I respect you as a person with your own ideas and feelings.,D,True,0.0074616447,0.1807791,0.09676408,0.7149952
Which of the following stages is the first step in the writing cycle?,Outlining,Brainstorming,Publishing,Editing,B,False,0.01760223,0.24299128,0.078887716,0.66051877
Which of these is a government agency established to protect investors?,AAA,NBA,SEC,MADD,C,False,0.00421507,0.0747139,0.2954992,0.62557185
What character did Woody replace on the TV show 'Cheers'?,Coach,Diane,Norm,Frasier,A,False,0.02695847,0.25577486,0.17579131,0.54147536
Which of the following rocks would most likely form from the metamorphism of a shale?,Granite,Quartzite,Schist,Marble,C,False,0.0056983274,0.1887027,0.14696181,0.6586371
"Which of the following states of matter is characterized by a closely packed arrangement of particles, resulting in a stable, definite shape and definite volume?",Solid,Liquid,Gas,Plasma,A,False,0.008903578,0.08992295,0.14825788,0.7529156
How old is the Earth approximately?,"50,000 years",300 million years,4.5 billion years,no one knows,C,False,0.0062672705,0.11825473,0.19496909,0.680509
"As part of a staffing strategy, a human resources manager hires new personnel through a hidden market. Which of the following best represents the use of a hidden market?",Posting the job opening to a social media Web site,Advertising the job opening on job posting Web sites,Receiving a recommendation from a current employee,Participating in a career fair at a local community college,C,False,0.009181356,0.18441246,0.16274343,0.64366275
What liqueur is used to make a Pink Lady cocktail pink?,grenadine,schnapps,triple sec,pernod,A,False,0.020049158,0.16786954,0.14814435,0.6639369
What is the proper nautical use of an anchor?,to catch large fish,to calculate water depth,to hold a ship in place,to damage other boats,C,False,0.0020334146,0.0558247,0.41249186,0.52965003
In ice hockey which of the following is not a penalty?,hooking,charging,carving,butt-ending,C,False,0.023213236,0.19436206,0.10403451,0.6783902
"Ethan, a new preschool student, does not talk or play with other students during center time. Which of the following strategies will best help him develop interpersonal relationships?",Demonstrating empathy for Ethan when there is a conflict during center time,Modeling how to show appropriate affection in the classroom,Encouraging students to name and discuss their feelings throughout the day,Identifying a student to be Ethan's partner and participate in center time with him,D,True,0.007669521,0.14471324,0.11270279,0.7349145
If a business files under Chapter 11 what is it doing?,declaring bankruptcy,selling stock,buying a smaller,company suing the government,A,False,0.062130786,0.21685778,0.13153088,0.5894805
How many $100 bills does it take to equal one million dollars?,one thousand,five thousand,ten thousand,one hundred thousand,C,False,0.011883957,0.077493146,0.077493146,0.83312976
A prekindergarten teacher is planning a lesson with a teaching objective of categorizing geometric objects by type of shape. Which of the following actions must children be able to perform successfully before the teacher teaches the lesson?,Identifying attributes of objects,Recognizing the position of whole numbers,Creating sets of objects using counters,Matching values with their numerical representatives,A,False,0.017662248,0.27628407,0.18988708,0.51616657
What former 'Today' show personality played a neighbor on the TV sitcom 'The Hogan Family'?,Jane Pauley,Willard Scott,Deborah Norville,Joe Garagiola,B,False,0.020427426,0.3195387,0.13320355,0.52683026
"If one party to a contract is forced to sign, the contract is defined as",enforceable,executory,unilateral,voidable,D,True,0.045974355,0.23347704,0.16046627,0.5600823
What was the name of the first ship to sail around the world?,Triton,Victoria,Magellan,Elizabeth II,B,False,0.041347936,0.26962245,0.1853086,0.503721
Which of the following was a direct result of the First Opium War of 1839-1842?,The Chinese commissioner of trade in Canton (Guangzhou) banned the opium trade in that city.,China was forced to open some of its ports to international trade.,Chinese revolutionaries toppled the Qing dynasty.,Chinese leaders set out to remake their economy along Western lines.,B,False,0.018358551,0.32541314,0.1197128,0.53651553
What animal is considered sacred in India?,Sheep,Cow,Chicken,Dog,B,False,0.008775713,0.19973432,0.17626493,0.615225
In computer terminology what does the acronym 'FTP' stand for?,file transfer protocol,full time portal,full text processor,free to print,A,False,0.05062513,0.15593638,0.09458019,0.6988583
What is the art of elegant handwriting called?,calligraphy,engraving,decoupage,lithography,A,False,0.041314565,0.18515904,0.12725782,0.64626855
By what collective name do Christians refer to God the Father God the Son and the Holy Ghost?,the Trio,the Troika,the Triumvirate,the Trinity,D,True,0.006661594,0.071618885,0.04922289,0.8724966
In what year did the United States last win an Olympic gold medal in men's ice hockey?,1976,1980,1984,1988,B,False,0.019610826,0.1449055,0.18606234,0.64942133
What term describes the passing of genetic traits from one generation to the next?,heredity,heresy,homogeneity,hemoglobin,A,False,0.052303515,0.2344081,0.07610117,0.63718724
Modern computer microchips are primarily composed of what element?,Sodium,Silicon,Aluminum,Silver,B,False,0.008986632,0.18050134,0.096615404,0.71389663
The film 'Stand By Me' is based on a novel by what author?,Anne Proulx,Stephen King,Dean Koontz,Frank McCourt,B,False,0.015055717,0.43999255,0.046374876,0.49857688
What kind of car did Burt Reynolds drive in the movie 'Smokey and the Bandit'?,Lamborghini,Camaro,Corvette,Transam,D,True,0.009587656,0.24726889,0.14997616,0.59316725
Which of the following is the best description of traditional phonics instruction?,Students study lists of high-frequency words in order to increase reading speed and comprehension.,"Students are taught individual letter sounds first, followed by letter combination sounds and the rules of putting these combinations together to make words.","Students are immersed in written language, and encouraged to decode entire words using context clues.",Students analyze patterns of organization and syntax as a way of learning to recognize common structures.,B,False,0.017134527,0.30371675,0.11173114,0.56741756
Who composed the 'Moonlight Sonata'?,Mozart,Handel,Bach,Beethoven,D,True,0.0028348598,0.113238074,0.04720465,0.8367225
The first commercial radio station was located in what city?,Chicago,Austin,Pittsburgh,Cleveland,C,False,0.028575175,0.18633354,0.21114357,0.5739477
Which of these is not a position on an American football team?,quarterback,tight end,striker,free safety,C,False,0.028818034,0.11397754,0.11397754,0.7432269
Which of these is not a type of primate?,baboon,marmot,orangutan,chimpanzee,B,False,0.0168547,0.19289184,0.11699481,0.67325866
In 1986 Libyan leader Muammar Qaddafi drew a so-called 'Line of Death' overwhat body of water?,Gulf of Sidra,Gulf of Oman,Red Sea,Persian Gulf,A,False,0.026717437,0.32548502,0.17421958,0.47357792
What is the nickname of Florida's controversial death row electric chair?,Old Yeller,Old Geezer,Old Smoky,Old Sparky,D,True,0.004544573,0.04885876,0.080554485,0.86604226
The dance known as the 'fandango' is of what origin?,Australian,African,Native American,Spanish,D,True,0.003127881,0.04892829,0.08066912,0.8672747
In what restaurant can you order a Grand Slam breakfast?,Denny's,McDonald's,Burger King,Hardee's,A,False,0.015989702,0.25012103,0.13388014,0.60000914
Which of these minerals is hardest on the Mohs scale?,Corundum,Quartz,Apatite,Calcite,A,False,0.033201598,0.16861162,0.13131486,0.6668719
Which of the following beverages is brewed from the leaves of a plant?,tea,coffee,ginger ale,wine,A,False,0.024056725,0.1777565,0.095146194,0.7030406
"According to Erik Erikson, the primary dilemma faced in adolescence is",industry vs. inferiority,identity vs. identity confusion,generativity vs. stagnation,integrity vs. despair,B,False,0.015474357,0.27428952,0.12956521,0.58067095
What literary work is the source of the quote 'Abandon every hope all you who enter here'?,Paradise Lost',The Wizard of Oz',The Divine Comedy',Beowulf',C,False,0.023961572,0.13788933,0.13788933,0.7002598
What's the popular name of the breakfast meal consisting of sausages wrapped in pancakes?,ducks in a pond,pigs in a blanket,cows in a pasture,dogs in the oven,B,False,0.010411547,0.26851732,0.07693151,0.6441396
Which of the following is not a TV cartoon duo?,Chip and Dale,Beavis and Butt-head,Simon and Garfunkel,Tom and Jerry,C,False,0.011026218,0.17247906,0.13432683,0.68216795
Which of these is not a 'lock' function on a standard desktop computer keyboard?,print lock,number lock,scroll lock,caps lock,A,False,0.0062455237,0.09177731,0.13353519,0.768442
The American patriot Paul Revere was named for his father whose original name was what?,John Paul Revere,Paul Silver,Apollos Rivoire,Paolo Reverini,C,False,0.057576157,0.25803843,0.13811803,0.5462674
Which of these movies does not star Jim Carrey?,Patch Adams',The Truman Show',Dumb and Dumber',The Mask',A,False,0.012717818,0.19894014,0.09397267,0.6943693
What is the name of Mario's brother in the 'Super Mario' video games?,Louis,Luigi,Luciano,Zelda,B,True,0.01089363,0.4632089,0.06268851,0.4632089
Who wrote the lyrics of the Frank Sinatra anthem 'My Way'?,Frank Sinatra,Kris Krist offerson,Carole King,Paul Anka,D,True,0.04578786,0.14103654,0.0969329,0.7162427
In the movie Austin Powers: The Spy Who Shagged Me what is the name of Dr Evil's diminutive clone?,Little Buddy,Mini-Me,Small Fry,Dr Evil Jr,B,False,0.018868478,0.26047128,0.09582204,0.6248382
What is the chemical process wherein a solid is turned to a liquid via the application of heat?,distillation,photosynthesis,freezing,melting,D,True,0.006388562,0.088191375,0.06868351,0.8367365
In what state is the 1999 movie Magnolia' set?,California,South Carolina,Georgia,Texas,A,False,0.042268302,0.27562398,0.16717438,0.51493335
How long is the time on an NBA shot clock?,18 seconds,24 seconds,30 seconds,35 seconds,B,False,0.027097661,0.20022614,0.15593627,0.6167399
The Pointillist paintings of Georges Seurat are most notable for containing which of the following characteristics?,An expressionistic use of broad brushstrokes and tactile surface texture,Lively figures created through the use of forceful lines,Static figures and a sense of optical surface movement,An emotional use of strident colors with a high degree of simplification,C,False,0.019239618,0.16109133,0.1825404,0.6371286
Backgammon is a how many player game?,Two,Three,Four,Six,A,False,0.013725129,0.1672063,0.06970196,0.74936664
According to the children's nursery rhyme what type of ocean did Columbus sail in 1492?,calm,blue,windy,really big,B,False,0.024509205,0.1701276,0.13249551,0.6728677
Which of these refers to an alcoholic drink laced with a knockout drug?,Zombie,Kamikaze,Mickey Finn,Molotov cocktail,C,False,0.012196353,0.13112314,0.102118805,0.7545616
"Students are reading the following passage from the National Park Service's Web site. Ten miles long and nearly 500 feet deep (152.4 m meters), Lake McDonald, the largest lake in the park, is a direct result of glacial carving. High peaks surrounding the lake all show evidence of the power of glaciers to carve even the hardest of rock. The powerful glaciers that carved the broad U-shaped valley that Lake McDonald sits in also carved smaller hanging valleys with wonderful waterfalls that are accessible by numerous hiking trails. Which of the following best identifies the intended audience of the passage?",Scientists researching glacier development,Teachers interested in creating virtual park field trips,Academics studying the historical context of national parks,Families interested in visiting Lake McDonald,D,True,0.0032464196,0.09487429,0.10750665,0.7943727
How do you express 3/4 as a decimal?,0.25,0.5,0.75,0.9,C,False,0.041801404,0.12875739,0.08849357,0.7409476
What tea is known for its distinctive bergamot flavor?,Earl,Grey Darjeeling,English Breakfast,Prince of Wales,A,False,0.018783096,0.2019373,0.15726894,0.6220107
"Science fiction: readers claim to either love it or loathe it; either they avoid it like poison or they devour favorite works and authors like chocolate addicts gulping down fudge truffles. The author of the passage compares certain readers with ""chocolate addicts"" primarily in order to",suggest that science fiction is not a serious literary genre,indicate the depth of certain readers' feelings about science fiction,explain why some readers consider science fiction to be dangerous,contrast the characteristics of science fiction with those of other literary genres,B,False,0.0396646,0.13844307,0.20143346,0.6204588
Which of these foods could contain small amounts of naturally occurring opium?,chocolate truffles,poppy seed bagels,carbonated soda,sesame chicken,B,False,0.024569895,0.18154834,0.16021585,0.633666
What is the slowest wind speed a hurricane can have according to the Saffir-Simpson scale?,50 m.p.h.,74 m.p.h.,96 m.p.h.,110 m.p.h.,B,False,0.017346464,0.18649207,0.14524017,0.6509213
