0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceD_probs
The principles of xeriscaping are best exemplified by a homeowner who,installs an in-ground sprinkler system that operates on a timer,lowers the cutting height on the lawn mower to reduce the surface area in contact with the cutting blade,increases the use of fertilizer on the turfgrass to promote growth,replaces nonnative ornamentals with native shrubs that do not require irrigation,D,True,0.037865434,0.080161124,0.35925722,0.52271616
What was the revenue for flat screen televisions sold in Australia in the past 12 months (as of 2013)?,$120 million annual Revenue,$1.2 billion annual Revenue,$12 billion annual Revenue,$120 billion annual Revenue,B,False,0.06881954,0.10013183,0.54130757,0.28974107
What native empire controlled Large areas of South African Territory during the 19th century?,Hutu,Zulu,Aztec,Masai,B,False,0.068699665,0.21160986,0.44797808,0.27171245
How many keys are on a Standard piano?,20,54,88,100,C,True,0.090474464,0.102520995,0.5899676,0.21703696
The most important consideration in designing successful messages to be transmitted through graphic communications is knowledge and understanding of,current technologies,the capabilities of the designer,the limitations of the printer,the nature of the audience,D,False,0.044399507,0.057010096,0.47733968,0.4212508
Which one of these world leaders was assassinated?,Indira Gandhi,Ferdinand Marcos,Golda Meir,Neville Chamberlain,A,False,0.07942796,0.1394004,0.55133927,0.2298324
Which of these candy bars was named for a baseball player?,Baby Ruth,Clark Bar,Reggie Bar,Butterfinger,C,False,0.07417439,0.42684412,0.3766886,0.12229289
The common term for someone who has difficulty seeing objects in the distance is what?,farsighted,nearsighted,hindsighted,hypermetropic,B,False,0.10196825,0.13092981,0.55123514,0.21586677
Where did jazz great Sun Ra claim he was born?,Atlantis,Mount Olympus,Saturn,in a saxophone,C,True,0.054691322,0.14866643,0.5188968,0.27774546
By what name is Bob Keeshan better known?,Bozo the Clown,Pee Wee Herman,Captain Kangaroo,Buffalo Bob,C,True,0.046721846,0.20939279,0.6449752,0.09891015
Where would you typically find a bailiff?,grocery store,courtroom,football stadium,doctor's office,B,False,0.111326694,0.26705885,0.41362885,0.20798564
Girls of what religious community traditionally wear bonnets?,Amish,Sikh,Roman Catholic,Christian,A,False,0.08126353,0.104344435,0.68041116,0.1339809
What New Age musician released a 1998 album titled 'King of the Pan3Flute'?,Zamfir,Yanni,Vangelis,Kenny G,A,False,0.029911898,0.11830386,0.5302011,0.3215832
Which of these is a fish?,sea horse,sea cow,sea snake,sea lion,A,False,0.15125309,0.13348038,0.46589231,0.2493742
How many airplanes are in the air worldwide right now (as of 2014)?,"5,000","20,000","80,000","320,000",B,False,0.039566595,0.12187369,0.5462,0.2923598
Reindeer herding as an economic activity of the Sami in Norway is an example of which of the following types of diffusion?,Stimulus,Hierarchical,Relocation,Contagious,A,False,0.088890366,0.1767796,0.4240722,0.31025788
"When cool air flows from a high mountain region to a region of lower elevation, the air will",increase in moisture content,"condense, forming large amounts of dew",undergo adiabatic warming,undergo adiabatic cooling,C,True,0.070315845,0.123408146,0.6267183,0.1795578
In Greek mythology what is the name of Zeus' father?,Apollo,Cronus,Prometheus,Hercules,B,False,0.04515378,0.17858668,0.706324,0.069935545
What disease does a carcinogen cause?,cancer,influenza,emphysema,heart disease,A,False,0.13815828,0.06526136,0.70162565,0.09495471
Who sang lead vocals for the band Big Brother and the Holding Company?,Grace Slick,Janis Joplin,Mama Cass,Karen Carpenter,B,False,0.07839412,0.21309732,0.57925856,0.12925006
Which Pope immediately preceded John Paul II?,John XXIII,Paul VI,John Paul I,Hank II,C,True,0.17351276,0.23716381,0.5020758,0.08724769
Which of these is not a spice?,dill,aniseed,cucumber,cayenne,C,True,0.048064575,0.089796446,0.5855464,0.27659252
Which of the following protocols is used to transport HTML pages from Web servers to Web browsers?,BOOTP,HTTP,SNMP,SMTP,B,False,0.023213236,0.19436206,0.6783902,0.10403451
What is the correct spelling of New Mexico's largest city?,Albuqerque,Albuquerque,Albequerque,Santa Fe,B,False,0.13919958,0.2025342,0.4287649,0.22950132
Which of the following best defines federalism?,A government in which the political leader is also the religious leader,The concentration of government power in the hands of a small group of people,The division of national power into different branches of government,The division of a country's power into national and subnational units,D,False,0.021971652,0.06767746,0.5666564,0.34369448
What sport is known as 'The Sport of Kings'?,polo,archery,yachting,horse racing,D,False,0.028969774,0.057613276,0.5135015,0.3999154
Which of the following is matched with its correct function?,Ovule ..... production of pollen,Vascular cambium ..... formation of apical meristem,Xylem ..... transport of sugars,Guard cell ..... regulation of transpiration rate,D,True,0.17029797,0.20541857,0.26376268,0.3605208
Which of the following protocols is usually associated with hyperinflation?,A rapid decrease in total spending,A rapid increase in money supply,A slow increase in exports,A slow increase in labor productivity,B,True,0.21096605,0.39413646,0.3069538,0.08794373
In which century was the greatest number of chemical elements discovered?,17th,18th,19th,20th,C,True,0.023830272,0.047392152,0.741338,0.1874396
"The term ""Cold War"" refers to the",race between the United States and the Soviet Union to claim ownership of Antarctica,contest between the United States and the European Union for economic domination in the West,struggle between the United States and the Soviet Union to gain political hegemony in world affairs,competition between the Soviet Union and China for the resources of the Pacific Rim,C,True,0.033045057,0.057995886,0.80060846,0.10835057
Which of the following articles of clothing has a hood?,Parka,kilt,lederhosen,sarong,A,False,0.06479592,0.094277516,0.6147666,0.22616
Which of these measurements is equal to one square foot?,50 square inches,77 square inches,100 square inches,144 square inches,D,False,0.06984103,0.101618096,0.58477175,0.24376912
Which of the following is a disorder in ruminants that is characterized by an excessive accumulation of gas in the rumen?,Agalactia,Bloat,Bovine pleuropneumonia,Grass tetany,B,False,0.0493202,0.3644297,0.46793702,0.11831301
"_Whenever the mood strikes her_, Angela takes a short walk around the block. In the sentence above, the underlined portion can best be described as",an adjective clause,a relative clause,a subordinate clause,an independent clause,C,True,0.09512552,0.107791334,0.58271444,0.21436867
"What term is used to describe a""group of geese?",gaggle,gang,gander,grist,A,False,0.12151736,0.114155,0.69928414,0.06504356
If you dial '411' on a telephone who are you calling?,the police,the White House,directory assistance,Moviefone,C,True,0.052921835,0.08725336,0.6863008,0.17352402
Which of these are not legumes?,beans,peas,radishes,peanuts,C,True,0.09421849,0.1370871,0.478481,0.2902134
"In 1989 scientists from Norway discovered that there are far more viruses in oceans lakes, and streams than previously believed. How many viruses did they find that a milliliter of natural water might contain?",up to 250,up to 25000,up to 2500000,up to 250000000,D,False,0.0703612,0.13145202,0.5199028,0.27828395
Which company holds an annual self-named 'Bake-Off'?,Betty Crocker,Duncan Hines,Pillsbury,Keebler,C,True,0.028281236,0.14362396,0.64367795,0.18441683
Which of the following fiscal policy actions is most expansionary?,Increasing both government spending and taxes,Increasing government spending and decreasing taxes,Decreasing government spending and increasing taxes,Decreasing both government spending and taxes,B,False,0.1134396,0.13683428,0.47759855,0.27212745
Which of the following steps should be taken first to effectively present new information to coworkers?,Analyzing the audience,Determining the objective,Creating three to five key messages,Choosing a communication tool,B,False,0.15069349,0.14156343,0.52597195,0.18177105
What is the name of the character Played by Woody Allen in the 1967 James Bond film 'Casino Royale'?,Dr Evil,Q,Little Jimmy Bond,M,C,True,0.033760164,0.11783455,0.5280978,0.32030752
Which of the following is generally the first step taken in a large-scale commercial construction venture?,Filing applications for building permits and variances,Ordering the materials needed for the building foundation,Drafting a contract that spells out the details of the building plan,Holding a discussion between the developer and the designer/contractor about the scope of the construction,D,False,0.17437139,0.119843595,0.41829523,0.28748983
How many eyes does a Giraffe have?,one,two,three,four,B,False,0.10358435,0.10358435,0.6754548,0.11737645
What pro wrestler grapples with Sylvester Stallone in the movie-'Rocky III'?,Dolph Lundgren,Hulk Hogan,Andre the Giant,The Iron Sheik,B,False,0.032257184,0.21034327,0.5717723,0.18562728
Which of the following activities will be most effective in introducing kindergartners to the concept of how plants transport water?,Demonstrating that a celery stalk can be peeled lengthwise but not crosswise,Placing celery stalks in water colored with a dye and observing the results,Collecting rainwater in a rain gauge and comparing the amount of rainfall to a plant's growth rate,"Planting bean seeds in paper cups, placing them on the windowsill, and watering them daily",B,False,0.03366397,0.09150816,0.46471676,0.4101111
What is the function of mitochondria in the cell?,To generate energy,To process waste,To kill viruses or other antigens,To repair damage,A,False,0.097192794,0.21902736,0.38440496,0.29937488
Which of these is not one of the four basic forces in nature?,electromagnetic,gravitational,nuclear,centrifugal,D,False,0.043115236,0.15048696,0.5252511,0.28114668
Which of these is a slang term for 'police'?,fuzz,shrinks,bean counters,aardvarks,A,False,0.26257905,0.18046775,0.43291965,0.12403356
What is the name of the fruit that is half tangerine and half grapefruit?,graperine,tangefruit,tangelo,kumquat,C,True,0.03138997,0.075300634,0.63048446,0.262825
What are the Smothers Brothers'(first names?,Frank and Bill,Tom and Dick,Dave and George,Ed and Pete,B,False,0.23832366,0.18560666,0.2700561,0.30601364
Which of the following great apes (the Hominidae) is NOT native to Africa?,Gorilla,Human,Chimpanzee,Orangutan,D,False,0.04265776,0.090306476,0.5888722,0.27816352
In the movie 'Star Wars' what kind of creature is Chewbacca?,Woolie,Woobie,Wookiee,Klingon,C,True,0.022284292,0.04163254,0.8362119,0.09987127
In the film 'Easy Rider' what emblem is on the back of Peter Fonda's leather jacket?,peace symbol,American flag,two white doves,Harley-Davidson logo,B,False,0.08655709,0.16170993,0.4679232,0.28380978
What are the tallest trees on Earth?,Coast Redwood,Coast Douglas Fir,Giant Sequoia,Sitka Spruce,A,False,0.20278451,0.12299502,0.5512254,0.12299502
Which of these painting tools has bristles on it?,Easel,Knife,Brush,Palette,C,True,0.025827691,0.09596151,0.80347586,0.0747349
Astronaut John Glenn served as a pilot in what branch of the military?,Army,Air Force,Marines,Navy,C,True,0.13168195,0.19159609,0.45961514,0.21710682
On the TV show 'CHiPs' what was Officer Frank Poncherello's-nickname?,Franky,Ponch,Chipper,Hot Dog,B,False,0.1072722,0.29159608,0.4242698,0.17686196
Which of the following criteria is the most important when assessing reading comprehension?,Ability to spell inventively,Ability to decode new words,Ability to identify the main idea,Ability to recognize rhyming patterns,C,True,0.04502626,0.061543602,0.7981096,0.0953206
Which of these games is not played with cards?,baccarat,rummy,craps,solitaire,C,True,0.033238664,0.13146147,0.5199402,0.31535968
In American football how many points is a touchdown worth?,two,three,six,seven,C,True,0.12977205,0.11452343,0.5132584,0.2424461
What is the most likely impact of an increase in interest rates?,Investment levels diminish,Employment increases,The value of the U.S. dollar increases,Mortgage rates decline,A,False,0.06483673,0.21259145,0.5099804,0.21259145
Whose profile can you see on the front of dimes that are currently in circulation?,George Washington,Thomas Jefferson,Benjamin Franklin,Franklin Roosevelt,D,False,0.087792836,0.09948232,0.6487062,0.16401862
Who is considered the owner of a 'publicly held' company?,the CEO,the stockholders,the president,the government,B,False,0.08988653,0.20256242,0.51726127,0.1902898
Which of the following candies is traditionally fruit flavored?,M&M's,Skittles,Reese's Pieces,Junior Mints,B,False,0.09194414,0.22056252,0.46693087,0.22056252
In 1926 the Harlem Globetrotters basketball team was formed in what city?,Boston,Philadelphia,Chicago,New York City,C,True,0.031670187,0.067045785,0.63611275,0.26517123
Which of the following steps in the design of a dog house would be earliest?,Acquiring all the tools necessary for the building,Purchasing all the materials for building the structure,"Identifying the color, shape, and style of the exterior surface",Accessing the measurements of the dog and all the interior materials,D,False,0.29514402,0.20284933,0.3789724,0.12303433
What was the name of the 1999 art exhibit that sparked a national debate about censorship?,Sticks & Stones',Pulsation',Black & White',Sensation',D,False,0.11355239,0.12867172,0.44910842,0.30866742
What was the title of Beethoven's only completed opera?,Faust',The Silence',Immortal Beloved',Fidelio',D,False,0.030256303,0.119665995,0.5038127,0.34626505
What is the name of the StarKist tuna mascot?,Charlie,Sam,Al,Morris,A,False,0.13712597,0.19951712,0.54234374,0.12101325
Which of the following groups was converted to Christianity in the tenth century C.E. by missionaries from the Byzantine Empire?,Franks,Visigoths,Russians,Anglo-Saxons,C,True,0.06455821,0.08824061,0.575401,0.2718002
Which of these words is an adverb?,hurried,fast,speedy,quickly,D,False,0.04967917,0.09281292,0.6052162,0.25229165
On which part of a car would you find the 'caliper'?,battery,engine,radiator,brakes,D,True,0.008995241,0.06646633,0.43341494,0.49112347
Which of these plants is the national emblem of Scotland?,ivy,thistle,rose,linden,B,False,0.075550765,0.15994096,0.6733766,0.09113161
How much does it cost to air condition all American automobiles for a year (as of 2018)?,$10m,$100m,$1 billion,$10 billion,C,True,0.036545373,0.07736656,0.64778227,0.23830578
What fictional character claims to be 'smarter than the average bear'?,Paddington Bear,Fozzie Bear,Smokey Bear,Yogi Bear,D,False,0.028563844,0.10612755,0.6107219,0.25458676
If you are truly afraid of the dark what do you suffer from?,hypnophobia,cryptophobia,hadephobia,nyctophobia,D,True,0.1938989,0.07593191,0.31968525,0.410484
Which of the following is a way in which Congress can influence the federal bureaucracy?,Increasing or decreasing departmental salaries,Appropriating funds,Appointing agency heads,Dismissing cabinet secretaries,B,False,0.092507735,0.14327878,0.44132972,0.32288373
What country was once ruled by shoguns?,China,Japan,North Korea,Taiwan,B,False,0.036571946,0.36936358,0.5374208,0.056643736
On what continent can you find tigers in the wild?,Africa,Asia,Europe,South America,B,False,0.113520995,0.2723227,0.44898424,0.16517207
"The construction of a transportation network that included roads, canals, and steamboats that took shape in the United States in the early decades of the nineteenth century had which of the following effects in the years before the Civil War?",It decreased the need for immigrant labor.,It stimulated the development of a market revolution.,It weakened the plantation system in the southern states.,It transformed the United States into an international military power.,B,False,0.07232949,0.19661194,0.53444666,0.19661194
What is the more common name for the disease 'pertussis'?,whooping cough,tennis elbow,black lung,German measles,A,False,0.20663035,0.3860363,0.26531863,0.14201483
The primary purpose of a Supervised Agricultural Experience ( SAE ) program is to,provide a basis for students to apply for and win proficiency awards,provide students with an income to be used to learn money management skills,"give students a chance to earn enough money to qualify for local, state, and national FFA degrees",allow students to apply skills learned in the classroom and learn new skills in a specialized area,D,True,0.020681322,0.032031853,0.30390978,0.643377
An early-nineteenth-century railroad steam engine is an excellent example of which of the following power systems?,Internal combustion engine,External combustion engine,Rotary engine,Reaction engine,B,False,0.07798056,0.15508287,0.54129237,0.22564423
With which of the following statements would both Thomas Hobbes and John Locke most probably have agreed?,Government authority is created as the result of a social contract.,Government must enforce religious law to prevent moral decay.,Government must enforce the majority's will regardless of the wishes of the minority.,Government must bend to the will of the educated minority.,A,False,0.19734432,0.10563081,0.4734044,0.2236204
In the classic song 'Take Me Out to the Ballgame' for whom do we 'root root root'?,the umpire,the home team,the bat boy,Mighty Casey,B,False,0.165401,0.25617808,0.4496065,0.12881443
Who was Charlie McCarthy?,a US senator,a Chicago gangster,a famous baseball pitcher,a wooden dummy,D,True,0.042135008,0.024007805,0.27475476,0.65910244
How many states were in the Confederate States of America?,11,13,16,22,A,False,0.088174626,0.16473189,0.50740993,0.23968348
Who were the Chicago Seven?,war protesters,bluegrass musicians,bank robbers,mobsters,A,False,0.1412732,0.1600835,0.4930919,0.20555128
Which dwarf planet is closest to the Sun?,Pluto,Eris,Ceres,Makemake,C,True,0.05371474,0.15542877,0.6147327,0.17612387
What company makes perfumes called 'Beautiful' and 'Pleasures'?,Estee Lauder,Ralph Lauren,Elizabeth Arden,Calvin Klein,A,False,0.041580874,0.2392814,0.57400626,0.14513151
What nationality was Karl Marx?,Russian,German,Danish,English,B,False,0.18030016,0.12391837,0.5553636,0.1404179
In America what is the main ingredient in pepperoni?,Fish,pepper,wheat,meat,D,True,0.03203416,0.081802085,0.41542527,0.4707385
A student in the process of solving a fabrication problem in the manufacturing laboratory asks the teacher what assembly procedures should be used. The teacher's best response would be to,give an opinion as to the best assembly procedure for the particular problem,suggest two or three possible assembly procedures and have the student select one,place the responsibility completely on the student for making the judgment,use leading questions to help the student review and analyze the relative merits of several assembly procedures,D,False,0.06793114,0.18465596,0.44296664,0.30444622
"If the government places a price ceiling on leather garments that is below the equilibrium price, which of the following will occur in the market for leather garments?",There will be a shortage.,There will be a surplus.,The demand curve for leather garments will shift leftward.,The supply curve for leather garments will shift rightward.,A,False,0.06617595,0.07498719,0.62786,0.23097679
"During President Dwight Eisenhower's administration in the 1950s, the federal government promoted significant changes in transportation in the United States by",establishing generous subsidies for urban mass transit,sponsoring research to develop less polluting automobiles,funding the construction of the interstate highway system,funding the establishment of a national railroad passenger system,C,True,0.029304823,0.102283895,0.7099909,0.1584204
Animals in which of the following groups may have a backbone and a spinal cord?,Mollusks,Chordates,Invertebrates,Echinoderms,B,False,0.11341165,0.14562345,0.5759519,0.16501299
Which of the following statements best illustrates active listening on the part of a second-grade teacher who is helping a student solve a personal problem?,"I have gathered the facts, and I know what really happened.","I understand you, and I know what is best for you.",I believe you understood the class rules.,I respect you as a person with your own ideas and feelings.,D,False,0.05161594,0.09643126,0.5549236,0.2970292
Which of the following stages is the first step in the writing cycle?,Outlining,Brainstorming,Publishing,Editing,B,True,0.24056022,0.39661676,0.25607502,0.106747955
Which of these is a government agency established to protect investors?,AAA,NBA,SEC,MADD,C,True,0.023435302,0.03863828,0.8261228,0.11180356
What character did Woody replace on the TV show 'Cheers'?,Coach,Diane,Norm,Frasier,A,False,0.10257662,0.19163835,0.4597165,0.24606852
Which of the following rocks would most likely form from the metamorphism of a shale?,Granite,Quartzite,Schist,Marble,C,True,0.058587022,0.1320279,0.59170794,0.21767719
"Which of the following states of matter is characterized by a closely packed arrangement of particles, resulting in a stable, definite shape and definite volume?",Solid,Liquid,Gas,Plasma,A,False,0.042864654,0.10282696,0.71376055,0.14054778
How old is the Earth approximately?,"50,000 years",300 million years,4.5 billion years,no one knows,C,True,0.02852029,0.0825262,0.6909834,0.19797006
"As part of a staffing strategy, a human resources manager hires new personnel through a hidden market. Which of the following best represents the use of a hidden market?",Posting the job opening to a social media Web site,Advertising the job opening on job posting Web sites,Receiving a recommendation from a current employee,Participating in a career fair at a local community college,C,True,0.072094135,0.13468957,0.4701128,0.3231035
What liqueur is used to make a Pink Lady cocktail pink?,grenadine,schnapps,triple sec,pernod,A,False,0.047589134,0.12936068,0.65694773,0.1661024
What is the proper nautical use of an anchor?,to catch large fish,to calculate water depth,to hold a ship in place,to damage other boats,C,True,0.011266561,0.022406232,0.9527372,0.013590066
In ice hockey which of the following is not a penalty?,hooking,charging,carving,butt-ending,C,True,0.044884577,0.12987784,0.5136768,0.31156075
"Ethan, a new preschool student, does not talk or play with other students during center time. Which of the following strategies will best help him develop interpersonal relationships?",Demonstrating empathy for Ethan when there is a conflict during center time,Modeling how to show appropriate affection in the classroom,Encouraging students to name and discuss their feelings throughout the day,Identifying a student to be Ethan's partner and participate in center time with him,D,True,0.027730143,0.10302998,0.40749148,0.46174833
If a business files under Chapter 11 what is it doing?,declaring bankruptcy,selling stock,buying a smaller,company suing the government,A,True,0.33419424,0.22968812,0.33419424,0.10192349
How many $100 bills does it take to equal one million dollars?,one thousand,five thousand,ten thousand,one hundred thousand,C,True,0.10089346,0.09478063,0.4521731,0.35215276
A prekindergarten teacher is planning a lesson with a teaching objective of categorizing geometric objects by type of shape. Which of the following actions must children be able to perform successfully before the teacher teaches the lesson?,Identifying attributes of objects,Recognizing the position of whole numbers,Creating sets of objects using counters,Matching values with their numerical representatives,A,False,0.07818625,0.12109724,0.65464544,0.14607115
What former 'Today' show personality played a neighbor on the TV sitcom 'The Hogan Family'?,Jane Pauley,Willard Scott,Deborah Norville,Joe Garagiola,B,False,0.07227078,0.26851854,0.39069214,0.26851854
"If one party to a contract is forced to sign, the contract is defined as",enforceable,executory,unilateral,voidable,D,False,0.11095672,0.17185314,0.46714526,0.25004485
What was the name of the first ship to sail around the world?,Triton,Victoria,Magellan,Elizabeth II,B,False,0.13529095,0.26905817,0.50266683,0.09298402
Which of the following was a direct result of the First Opium War of 1839-1842?,The Chinese commissioner of trade in Canton (Guangzhou) banned the opium trade in that city.,China was forced to open some of its ports to international trade.,Chinese revolutionaries toppled the Qing dynasty.,Chinese leaders set out to remake their economy along Western lines.,B,False,0.10723143,0.22700894,0.37427446,0.29148525
What animal is considered sacred in India?,Sheep,Cow,Chicken,Dog,B,False,0.066338286,0.123936236,0.7132038,0.09652164
In computer terminology what does the acronym 'FTP' stand for?,file transfer protocol,full time portal,full text processor,free to print,A,False,0.3199398,0.17125143,0.46550965,0.043299146
What is the art of elegant handwriting called?,calligraphy,engraving,decoupage,lithography,A,False,0.09683735,0.20500466,0.55726045,0.14089751
By what collective name do Christians refer to God the Father God the Son and the Holy Ghost?,the Trio,the Troika,the Triumvirate,the Trinity,D,True,0.02385985,0.04745098,0.35061795,0.57807124
In what year did the United States last win an Olympic gold medal in men's ice hockey?,1976,1980,1984,1988,B,False,0.057989508,0.12276378,0.48554018,0.33370656
What term describes the passing of genetic traits from one generation to the next?,heredity,heresy,homogeneity,hemoglobin,A,False,0.25447458,0.23905675,0.37025833,0.13621043
Modern computer microchips are primarily composed of what element?,Sodium,Silicon,Aluminum,Silver,B,False,0.08202661,0.22297144,0.47203055,0.22297144
The film 'Stand By Me' is based on a novel by what author?,Anne Proulx,Stephen King,Dean Koontz,Frank McCourt,B,False,0.105871424,0.36952758,0.4187296,0.105871424
What kind of car did Burt Reynolds drive in the movie 'Smokey and the Bandit'?,Lamborghini,Camaro,Corvette,Transam,D,False,0.080750644,0.23365971,0.5605205,0.12506904
Which of the following is the best description of traditional phonics instruction?,Students study lists of high-frequency words in order to increase reading speed and comprehension.,"Students are taught individual letter sounds first, followed by letter combination sounds and the rules of putting these combinations together to make words.","Students are immersed in written language, and encouraged to decode entire words using context clues.",Students analyze patterns of organization and syntax as a way of learning to recognize common structures.,B,False,0.11979867,0.28738207,0.3690059,0.22381338
Who composed the 'Moonlight Sonata'?,Mozart,Handel,Bach,Beethoven,D,False,0.0077690673,0.08352534,0.61717343,0.29153207
The first commercial radio station was located in what city?,Chicago,Austin,Pittsburgh,Cleveland,C,True,0.13338074,0.15114017,0.597771,0.11770809
Which of these is not a position on an American football team?,quarterback,tight end,striker,free safety,C,True,0.082472734,0.10589709,0.50520676,0.3064234
Which of these is not a type of primate?,baboon,marmot,orangutan,chimpanzee,B,False,0.085663676,0.17036256,0.46309343,0.28088036
In 1986 Libyan leader Muammar Qaddafi drew a so-called 'Line of Death' overwhat body of water?,Gulf of Sidra,Gulf of Oman,Red Sea,Persian Gulf,A,False,0.052841548,0.20899238,0.50134665,0.23681939
What is the nickname of Florida's controversial death row electric chair?,Old Yeller,Old Geezer,Old Smoky,Old Sparky,D,False,0.025145583,0.08776671,0.64851314,0.23857465
The dance known as the 'fandango' is of what origin?,Australian,African,Native American,Spanish,D,False,0.021115443,0.047584385,0.5796965,0.3516037
In what restaurant can you order a Grand Slam breakfast?,Denny's,McDonald's,Burger King,Hardee's,A,False,0.086282134,0.23453917,0.49651942,0.18265928
Which of these minerals is hardest on the Mohs scale?,Corundum,Quartz,Apatite,Calcite,A,False,0.123595566,0.079799294,0.62767005,0.1689351
Which of the following beverages is brewed from the leaves of a plant?,tea,coffee,ginger ale,wine,A,False,0.15964483,0.1925684,0.5234552,0.124331504
"According to Erik Erikson, the primary dilemma faced in adolescence is",industry vs. inferiority,identity vs. identity confusion,generativity vs. stagnation,integrity vs. despair,B,False,0.03787332,0.19233659,0.52282506,0.24696507
What literary work is the source of the quote 'Abandon every hope all you who enter here'?,Paradise Lost',The Wizard of Oz',The Divine Comedy',Beowulf',C,True,0.08294606,0.12068581,0.54087627,0.25549185
What's the popular name of the breakfast meal consisting of sausages wrapped in pancakes?,ducks in a pond,pigs in a blanket,cows in a pasture,dogs in the oven,B,True,0.04966932,0.44269785,0.34477344,0.16285944
Which of the following is not a TV cartoon duo?,Chip and Dale,Beavis and Butt-head,Simon and Garfunkel,Tom and Jerry,C,True,0.037035257,0.0649989,0.65646565,0.24150023
Which of these is not a 'lock' function on a standard desktop computer keyboard?,print lock,number lock,scroll lock,caps lock,A,False,0.028639534,0.088215984,0.57524043,0.30790403
The American patriot Paul Revere was named for his father whose original name was what?,John Paul Revere,Paul Silver,Apollos Rivoire,Paolo Reverini,C,True,0.17589992,0.22585997,0.37238014,0.22585997
Which of these movies does not star Jim Carrey?,Patch Adams',The Truman Show',Dumb and Dumber',The Mask',A,False,0.07980716,0.15871549,0.38073868,0.38073868
What is the name of Mario's brother in the 'Super Mario' video games?,Louis,Luigi,Luciano,Zelda,B,True,0.09947575,0.5377608,0.32616842,0.03659508
Who wrote the lyrics of the Frank Sinatra anthem 'My Way'?,Frank Sinatra,Kris Krist offerson,Carole King,Paul Anka,D,False,0.07331374,0.09413671,0.69558144,0.1369681
In the movie Austin Powers: The Spy Who Shagged Me what is the name of Dr Evil's diminutive clone?,Little Buddy,Mini-Me,Small Fry,Dr Evil Jr,B,False,0.07898967,0.27570105,0.51507735,0.13023195
What is the chemical process wherein a solid is turned to a liquid via the application of heat?,distillation,photosynthesis,freezing,melting,D,False,0.0307721,0.11433222,0.5806269,0.27426872
In what state is the 1999 movie Magnolia' set?,California,South Carolina,Georgia,Texas,A,False,0.15022384,0.23267122,0.49256498,0.12453993
How long is the time on an NBA shot clock?,18 seconds,24 seconds,30 seconds,35 seconds,B,False,0.07611151,0.12548666,0.63727385,0.16112806
The Pointillist paintings of Georges Seurat are most notable for containing which of the following characteristics?,An expressionistic use of broad brushstrokes and tactile surface texture,Lively figures created through the use of forceful lines,Static figures and a sense of optical surface movement,An emotional use of strident colors with a high degree of simplification,C,True,0.064502366,0.10634642,0.54007167,0.28907955
Backgammon is a how many player game?,Two,Three,Four,Six,A,False,0.04745645,0.1373198,0.61542463,0.19979912
According to the children's nursery rhyme what type of ocean did Columbus sail in 1492?,calm,blue,windy,really big,B,False,0.06188418,0.20291042,0.37908655,0.35611886
Which of these refers to an alcoholic drink laced with a knockout drug?,Zombie,Kamikaze,Mickey Finn,Molotov cocktail,C,True,0.07839412,0.12925006,0.57925856,0.21309732
"Students are reading the following passage from the National Park Service's Web site. Ten miles long and nearly 500 feet deep (152.4 m meters), Lake McDonald, the largest lake in the park, is a direct result of glacial carving. High peaks surrounding the lake all show evidence of the power of glaciers to carve even the hardest of rock. The powerful glaciers that carved the broad U-shaped valley that Lake McDonald sits in also carved smaller hanging valleys with wonderful waterfalls that are accessible by numerous hiking trails. Which of the following best identifies the intended audience of the passage?",Scientists researching glacier development,Teachers interested in creating virtual park field trips,Academics studying the historical context of national parks,Families interested in visiting Lake McDonald,D,False,0.035589546,0.12421972,0.52298456,0.31720617
How do you express 3/4 as a decimal?,0.25,0.5,0.75,0.9,C,True,0.08431982,0.12268461,0.5165215,0.27647406
What tea is known for its distinctive bergamot flavor?,Earl,Grey Darjeeling,English Breakfast,Prince of Wales,A,False,0.07486071,0.15848011,0.626801,0.13985822
"Science fiction: readers claim to either love it or loathe it; either they avoid it like poison or they devour favorite works and authors like chocolate addicts gulping down fudge truffles. The author of the passage compares certain readers with ""chocolate addicts"" primarily in order to",suggest that science fiction is not a serious literary genre,indicate the depth of certain readers' feelings about science fiction,explain why some readers consider science fiction to be dangerous,contrast the characteristics of science fiction with those of other literary genres,B,False,0.104746856,0.09243878,0.4997193,0.30309507
Which of these foods could contain small amounts of naturally occurring opium?,chocolate truffles,poppy seed bagels,carbonated soda,sesame chicken,B,False,0.124502204,0.17017433,0.52417386,0.18114965
What is the slowest wind speed a hurricane can have according to the Saffir-Simpson scale?,50 m.p.h.,74 m.p.h.,96 m.p.h.,110 m.p.h.,B,False,0.043115236,0.15048696,0.5252511,0.28114668
In which of the following bands did Jimmy Page not play guitar?,Bad Company,The Firm,Led Zeppelin,The Yardbirds,A,False,0.05289755,0.12689462,0.5342463,0.28596145
